字段,类型,含义,示例
date,String,日期,20150912
item_id,String,商品ID,132
store_code,String,仓库CODE,1
cate_id,String,叶子类目ID,18
cate_level_id,String,大类目ID,12
brand_id,String,品牌ID,203
supplier_id,String,供应商ID,1976
pv_ipv,Double,浏览次数,2
pv_uv,Double,流量UV,2
cart_ipv,Double,被加购次数,0
cart_uv,Double,加购人次,0
collect_uv,Double,收藏夹人次,0
num_gmv,Double,拍下笔数,0
amt_gmv,Double,拍下金额,0
qty_gmv,Double,拍下件数,0
unum_gmv,Double,拍下UV,0
amt_alipay,Double,成交金额,0
num_alipay,Double,成交笔数,0
qty_alipay,Double,成交件数,0
unum_alipay,Double,成交人次,0
ztc_pv_ipv,Double,直通车引导浏览次数,0
tbk_pv_ipv,Double,淘宝客引导浏览次数,0
ss_pv_ipv,Double,搜索引导浏览次数,0
jhs_pv_ipv,Double,聚划算引导浏览次数,0
ztc_pv_uv,Double,直通车引导浏览人次,0
tbk_pv_uv,Double,淘宝客引导浏览人次,0
ss_pv_uv,Double,搜索引导浏览人次,0
jhs_pv_uv,Double,聚划算引导浏览人次,0
num_alipay_njhs,Double,非聚划算支付笔数,0
amt_alipay_njhs,Double,非聚划算支付金额,0
qty_alipay_njhs,Double,非聚划算支付件数,0
unum_alipay_njhs,Double,非聚划算支付人次,0
